1	Новый Уренгой	6,00	142,6	10,1
2	Салехард	5,35	127,2	10,1
3	Москва	4,78	137,7	7,4
4	Южно-Сахалинск	4,77	117,5	9,6
5	Сургут	4,63	103,8	10,2
6	Ханты-Мансийск	4,41	99,0	15,7
7	Анадырь	4,38	147,3	16,0
8	Красногорск	4,24	95,7	10,5
9	Санкт-Петербург	4,16	93,7	10,5
10	Магадан	4,10	114,8	9,5
11	Химки	4,10	92,4	7,7
12	Тюмень	3,99	74,9	14,5
13	Мурманск	3,85	90,8	10,8
14	Нижневартовск	3,82	85,7	12,8
15	Иркутск	3,75	71,4	14,3
16	Одинцово	3,69	83,2	11,2
17	Петропавловск-Камчатский	3,69	112,4	1,6
18	Кемерово	3,60	65,3	17,8
19	Екатеринбург	3,60	69,6	15,2
20	Нарьян-Мар	3,60	88,9	6,6
21	Домодедово	3,60	81,1	17,2
22	Казань	3,56	63,2	16,4
23	Якутск	3,47	88,5	10,9
24	Владивосток	3,43	78,9	13,5
25	Мытищи	3,42	77,2	11,9
26	Красноярск	3,35	69,4	14,1
27	Новокузнецк	3,33	60,3	12,2
28	Томск	3,31	64,8	14,4
29	Уфа	3,28	60,6	15,0
30	Череповец	3,26	68,4	7,6
31	Кызыл	3,19	58,2	14,3
32	Новосибирск	3,18	63,9	15,8
33	Нижний Новгород	3,16	62,0	14,3
34	Набережные Челны	3,16	56,1	19,9
35	Оренбург	3,15	55,8	23,5
36	Хабаровск	3,12	74,1	13,5
37	Челябинск	3,12	56,4	18,5
38	Магнитогорск	3,12	56,3	11,3
39	Пермь	3,09	60,3	15,3
40	Краснодар	3,03	63,2	15,2
41	Самара	3,03	56,4	15,2
42	Омск	3,02	54,3	18,0
43	Архангельск	3,01	67,0	14,3
44	Чита	3,00	60,9	14,2
45	Липецк	3,00	53,3	4,7
46	Белгород	2,94	51,9	14,6
47	Новороссийск	2,94	61,3	15,9
48	Тула	2,93	57,4	15,9
49	Ростов-на-Дону	2,92	58,5	15,3
50	Благовещенск	2,92	61,9	6,9
51	Абакан	2,91	58,1	16,3
52	Комсомольск-на-Амуре	2,86	67,8	16,6
53	Великий Новгород	2,84	51,8	17,6
54	Тверь	2,84	53,7	15,0
55	Старый Оскол	2,84	50,0	6,6
56	Воронеж	2,81	54,5	15,9
57	Петрозаводск	2,81	60,1	13,1
58	Саратов	2,80	49,5	11,5
59	Ижевск	2,78	51,1	12,1
60	Улан-Удэ	2,77	54,4	15,9
61	Сыктывкар	2,76	60,1	13,3
62	Чебоксары	2,75	48,9	19,4
63	Ярославль	2,74	53,1	13,7
64	Нижний Тагил	2,70	52,2	20,8
65	Рязань	2,69	51,7	14,6
66	Калуга	2,68	54,4	10,8
67	Киров	2,68	49,5	20,8
68	Курган	2,66	48,9	23,5
69	Сочи	2,65	55,3	15,1
70	Волгоград	2,65	47,8	15,4
71	Тольятти	2,62	48,9	14,3
72	Астрахань	2,62	47,4	14,0
73	Калининград	2,62	55,1	11,3
74	Магас	2,59	46,1	10,2
75	Вологда	2,58	54,1	11,1
76	Пенза	2,55	45,4	15,5
77	Йошкар-Ола	2,54	45,9	20,2
78	Ульяновск	2,51	46,9	15,5
79	Симферополь	2,49	49,1	15,1
80	Орёл	2,49	43,8	15,1
81	Владимир	2,49	50,1	14,6
82	Курск	2,47	45,0	16,7
83	Барнаул	2,47	48,6	16,9
84	Ставрополь	2,43	48,4	15,8
85	Саранск	2,41	42,1	14,5
86	Смоленск	2,41	46,4	17,1
87	Кострома	2,40	45,1	14,1
88	Горно-Алтайск	2,38	50,1	13,9
89	Брянск	2,38	45,9	14,9
90	Севастополь	2,35	47,3	10,9
91	Псков	2,35	44,4	14,3
92	Биробиджан	2,30	53,8	15,1
93	Тамбов	2,26	41,2	16,1
94	Майкоп	2,19	39,6	12,9
95	Иваново	2,18	42,1	12,2
96	Черкесск	2,16	40,3	14,9
97	Владикавказ	2,15	38,0	12,9
98	Грозный	2,10	40,0	13,4
99	Элиста	2,03	37,9	14,5
100	Нальчик	1,97	38,1	11,3
